Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
ADS;Execução de sistemas;427/2021;163855;10/2025;1.132,74;134 dias;0,00;Suspenso;TramitarReverter Status
ADS;Licença de uso de sistemas de informação;643/2022;164110;11/2025;1.806,53;114 dias;0,00;Suspenso;TramitarReverter Status
ADS;Execução de sistemas;427/2021;164744;11/2025;2.067,62;106 dias;0,00;Suspenso;TramitarReverter Status
ADS;Licença de uso de VPN;425/2021;164896;12/2025;195,26;100 dias;0,00;Suspenso;TramitarReverter Status
ADS;Licença de uso de sistemas de informação;643/2022;164897;12/2025;2.852,42;100 dias;0,00;Suspenso;TramitarReverter Status
ADS;Licença de uso de VPN;425/2021;166080;01/2026;195,26;44 dias;0,00;Suspenso;TramitarReverter Status
