campo;valor
nome_completo;Associação de Gestão Inovação e Resultados em Saúde
categoria;EMPRESA_PRIVADA
cnpj;05.029.600/0002-87
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;34760.79
val_atualizado;34760.79
faturas_exigiveis;0
faturas_prescritas;0
faturas_total;0
p_recuperacao;0.15
indice_correcao;SELIC
