campo;valor
nome_completo;Corpo de Bombeiros Militar do Amazonas
categoria;GOV_DIRETA
cnpj;02.963.980/0001-53
forca_probatoria;FORTE
proximo_passo;ENVIAR_TRD
val_exig;3134.027944080676
val_atualizado;71483.15783491402
faturas_exigiveis;4
faturas_prescritas;20
faturas_total;24
p_recuperacao;0.62
indice_correcao;SELIC
