caminho_atual;nome_atual;nome_limpo;caminho_novo;contrato;status_validacao;sha_antes;sha_depois;status;erro
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00025_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-00025_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-00025_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00025_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2019-01393_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-01393_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00679_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00679_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00679_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00679_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01094_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01094_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01094_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01094_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01095_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01095_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01095_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01095_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00090_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00090_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00090_CT-001.2011_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00090_CT-001.2011_Ordinario.pdf;001/2011;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000801_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000801_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000801_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000801_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000802_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2021-0000802_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2021-0000802_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000802_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00759_CT-021.2014-SUSPEITO_Ordinario.pdf;NE-2015-00759_CT-021.2014-SUSPEITO_Ordinario.pdf;NE-2015-00759_CT-021.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00759_CT-021.2014_Ordinario.pdf;021/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00760_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00760_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00760_CT-026.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00760_CT-026.2014_Ordinario.pdf;026/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000993_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000993_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2021-0000993_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2021-0000993_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0000027_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0000027_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0000027_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0000027_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001031_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001031_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001031_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001031_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00627_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00627_CT-001.2011-SUSPEITO_Ordinario.pdf;NE-2015-00627_CT-001.2011_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00627_CT-001.2011_Ordinario.pdf;001/2011;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001731_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001731_CT-008.2021-SUSPEITO_Ordinario.pdf;NE-2022-0001731_CT-008.2021_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2022-0001731_CT-008.2021_Ordinario.pdf;008/2021;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00547_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00547_CT-026.2014-SUSPEITO_Ordinario.pdf;NE-2015-00547_CT-026.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2015-00547_CT-026.2014_Ordinario.pdf;026/2014;canonico;;;DRY_RUN;
