campo;valor
nome_completo;Polícia Militar do Amazonas
categoria;GOV_DIRETA
cnpj;63.656.292/0001-35
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;27020.90058524942
val_atualizado;38951.91005342395
faturas_exigiveis;8
faturas_prescritas;5
faturas_total;13
p_recuperacao;0.2
indice_correcao;SELIC
