id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
145849;41753;1/2023;11/2023;7537,9;Parcialmente Paga;COMPLETA;200
146633;42465;1/2023;12/2023;7537,9;Emitida;FORTE;200
