campo;valor
nome_completo;Secretaria de Segurança Pública
categoria;GOV_DIRETA
cnpj;01.804.019/0001-53
forca_probatoria;FORTE
proximo_passo;PROTOCOLAR_PETICAO
val_exig;4553230.799761455
val_atualizado;29034062.62695501
faturas_exigiveis;66
faturas_prescritas;114
faturas_total;181
p_recuperacao;0.93
indice_correcao;SELIC
