campo;valor
nome_completo;Secretaria de Fazenda
categoria;GOV_DIRETA
cnpj;04.312.377/0001-37
forca_probatoria;MÉDIA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;198980.4851109561
val_atualizado;283622.8288313362
faturas_exigiveis;4
faturas_prescritas;1
faturas_total;5
p_recuperacao;0.4
indice_correcao;SELIC
