campo;valor
nome_completo;Salux Informatização em Saúde S/A
categoria;EMPRESA_PRIVADA
cnpj;05.113.942/0001-08
forca_probatoria;FRACA
proximo_passo;CLASSIFICAR
val_exig;1027949.15
val_atualizado;1027949.15
faturas_exigiveis;16
faturas_prescritas;0
faturas_total;16
p_recuperacao;
indice_correcao;SELIC
