Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEDUC;Execução de sistemas;014/2018;159999;05/2025;892.813,84;286 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;159998;05/2025;147.205,04;286 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;159799;05/2025;9.051,74;286 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;159796;05/2025;123.025,58;286 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;159797;05/2025;353.200,00;286 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;159798;05/2025;134.008,96;286 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;160535;05/2025;1.439.753,04;261 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;160788;06/2025;883.929,50;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;160787;06/2025;133.898,10;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;160729;06/2025;9.051,74;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;160732;06/2025;123.025,58;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;160731;06/2025;353.200,00;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Implantação de Sistemas de Informação;020/2022;160791;06/2025;209.445,61;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;160790;06/2025;1.439.753,04;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;160730;06/2025;134.008,96;255 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;161610;07/2025;886.264,10;219 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;161431;07/2025;353.200,00;219 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;161609;07/2025;156.545,39;219 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;161432;07/2025;123.025,58;219 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;161430;07/2025;134.008,96;219 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;161429;07/2025;9.051,74;219 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;161637;07/2025;1.440.272,24;217 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Implantação de Sistemas de Informação;020/2022;161638;07/2025;209.445,61;217 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;162442;08/2025;1.002.289,26;184 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;162439;08/2025;134.008,96;184 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;162438;08/2025;353.200,00;184 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;162441;08/2025;164.060,40;184 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;162440;08/2025;9.051,74;184 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;162437;08/2025;123.025,58;184 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;162718;08/2025;1.440.272,24;174 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;163239;09/2025;1.466.822,97;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Licença de uso de sistemas de informação;023/2021;163238;09/2025;1.458.753,43;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;163248;09/2025;1.003.760,37;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;163247;09/2025;187.875,22;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;163245;09/2025;353.200,00;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;163243;09/2025;9.051,74;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;163246;09/2025;123.025,58;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;163244;09/2025;134.008,96;146 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Licença de uso de sistemas de informação;023/2021;164099;10/2025;1.458.776,53;120 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;164103;10/2025;1.466.825,77;118 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;164105;10/2025;989.383,85;118 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;163870;10/2025;353.200,00;118 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;163868;10/2025;9.051,74;118 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;163869;10/2025;134.008,96;118 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;163871;10/2025;123.025,58;118 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;164104;10/2025;181.753,63;118 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;165157;11/2025;95.596,59;90 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;164629;11/2025;134.008,96;90 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;164630;11/2025;353.200,00;90 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;164631;11/2025;123.025,58;90 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;164628;11/2025;9.051,74;90 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;165305;11/2025;519.741,03;90 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Licença de uso de sistemas de informação;023/2021;165291;11/2025;1.458.761,44;87 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;165304;11/2025;1.468.611,61;86 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Licença de uso de sistemas de informação;023/2021;166074;12/2025;1.458.764,46;43 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;166073;12/2025;1.466.822,97;43 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;166071;12/2025;84.394,28;43 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;164942;12/2025;353.200,00;43 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;164941;12/2025;134.008,96;43 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;164940;12/2025;9.051,74;43 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;166072;12/2025;519.857,73;43 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;164943;12/2025;123.025,58;43 dias;0,00;Suspenso;TramitarReverter Status
