campo;valor
nome_completo;B23 Tecnologia
categoria;EMPRESA_PRIVADA
cnpj;40.402.740/0001-79
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;11892.24
val_atualizado;11892.24
faturas_exigiveis;3
faturas_prescritas;0
faturas_total;3
p_recuperacao;0.15
indice_correcao;SELIC
