campo;valor
nome_completo;Fundação de Vigilância em Saúde
categoria;GOV_INDIRETA
cnpj;07.141.411/0001-46
forca_probatoria;FORTE
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;321372.9594133031
val_atualizado;321372.9594133031
faturas_exigiveis;23
faturas_prescritas;0
faturas_total;23
p_recuperacao;0.75
indice_correcao;SELIC
