id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
135860;32443;6/2021;09/2022;26634,0;Emitida;COMPLETA;139
136421;33077;6/2021;10/2022;26634,0;Emitida;COMPLETA;139
137097;33735;6/2021;11/2022;26634,0;Emitida;COMPLETA;139
137570;34125;6/2021;12/2022;26634,0;Emitida;COMPLETA;139
134804;31370;6/2021;08/2022;26439,63;Emitida;COMPLETA;139
135490;31971;6/2021;09/2022;26439,63;Emitida;COMPLETA;139
136195;32772;6/2021;10/2022;26439,63;Emitida;COMPLETA;139
136866;33435;6/2021;11/2022;26439,63;Emitida;COMPLETA;139
137477;34041;6/2021;12/2022;26439,63;Emitida;COMPLETA;139
135857;32450;12/2021;09/2022;26272,04;Emitida;COMPLETA;79
165493;60300;12/2021;12/2025;23673,28;Emitida;COMPLETA;79
155538;50727;12/2021;12/2024;22154,78;Emitida;COMPLETA;79
128135;25037;22/2014;02/2021;22119,75;Emitida;FORTE;30
128079;25021;22/2014;01/2021;21947,41;Emitida;COMPLETA;30
128142;25030;27/2014;02/2021;19372,79;Emitida;COMPLETA;23
128156;25051;27/2014;03/2021;19372,79;Emitida;COMPLETA;23
128167;25057;22/2014;03/2021;18801,33;Emitida;COMPLETA;30
165067;60042;6/2021;12/2025;16933,66;Emitida;COMPLETA;139
135858;32449;12/2021;09/2022;16469,04;Emitida;COMPLETA;79
127483;25023;27/2014;01/2021;15808,0;Emitida;COMPLETA;23
127484;25033;27/2014;02/2021;15808,0;Emitida;COMPLETA;23
127485;25058;27/2014;03/2021;15808,0;Emitida;COMPLETA;23
134802;31372;6/2021;08/2022;15808,0;Emitida;FORTE;139
135488;31972;6/2021;09/2022;15808,0;Emitida;COMPLETA;139
136193;32775;6/2021;10/2022;15808,0;Emitida;COMPLETA;139
136864;33437;6/2021;11/2022;15808,0;Emitida;COMPLETA;139
137475;34037;6/2021;12/2022;15808,0;Emitida;COMPLETA;139
165065;60043;6/2021;12/2025;7824,86;Emitida;COMPLETA;139
155743;50934;8/2021;12/2024;5486,14;Emitida;COMPLETA;213
165619;60533;8/2021;12/2025;5168,78;Emitida;FORTE;213
165068;60047;6/2021;12/2025;4052,8;Emitida;COMPLETA;139
165063;60046;6/2021;12/2025;1723,49;Emitida;COMPLETA;139
165071;59981;83/2022;12/2025;1025,03;Emitida;FORTE;15
165069;60534;8/2021;12/2025;984,02;Emitida;COMPLETA;213
165066;60040;6/2021;12/2025;604,16;Emitida;COMPLETA;139
