campo;valor
nome_completo;Secretaria de Desenvolvimento Econômico, Ciência e Tecnologia
categoria;GOV_DIRETA
cnpj;04.503.421/0001-96
forca_probatoria;MÉDIA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;1249203.13232546
val_atualizado;4007244.346947853
faturas_exigiveis;52
faturas_prescritas;176
faturas_total;228
p_recuperacao;0.32
indice_correcao;SELIC
