campo;valor
nome_completo;Caixa Econômica Federal
categoria;EMPRESA_PRIVADA
cnpj;00.360.305/0001-04
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;844328.88
val_atualizado;844328.88
faturas_exigiveis;0
faturas_prescritas;0
faturas_total;0
p_recuperacao;0.15
indice_correcao;SELIC
