campo;valor
nome_completo;PSA Technology
categoria;EMPRESA_PRIVADA
cnpj;08.862.665/0001-16
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;21007.21
val_atualizado;21007.21
faturas_exigiveis;0
faturas_prescritas;0
faturas_total;0
p_recuperacao;0.15
indice_correcao;SELIC
