Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEPROR;Acesso Gerenciado à Rede Mundial;008/2016;107512;12/2018;17.640,00;2655 dias;0,00;Suspenso;TramitarReverter Status
SEPROR;Acesso Gerenciado à Rede Mundial;008/2016;120862;12/2020;20.358,24;1925 dias;0,00;Suspenso;TramitarReverter Status
SEPROR;Acesso à MetroMao;004/2022;142980;07/2023;126,36;958 dias;0,00;Suspenso;TramitarReverter Status
