campo;valor
nome_completo;Secretaria de Produção Rural
categoria;GOV_DIRETA
cnpj;05.560.185/0001-02
forca_probatoria;MÉDIA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;77960.49143925689
val_atualizado;170884.0956059437
faturas_exigiveis;15
faturas_prescritas;10
faturas_total;25
p_recuperacao;0.4
indice_correcao;SELIC
