id;nf;contrato;comp;valor;situacao;cadeia;protegida;motivo
164300;59259;83/2022;11/2025;30751,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000010
137916;34476;10/2021;12/2022;30077,2;Emitida;COMPLETA;True;interrompida_por_2026NE0000101
163820;58775;6/2021;10/2025;29922,0;Parcialmente Paga;COMPLETA;True;interrompida_por_2026NE0000006
165137;60041;6/2021;12/2025;29922,0;Emitida;FORTE;True;interrompida_por_2026NE0000006
137102;33741;60/2022;11/2022;29500,0;Emitida;COMPLETA;True;sem_ne_conhecida
137571;34127;83/2022;12/2022;28516,67;Emitida;COMPLETA;True;interrompida_por_2026NE0000010
165064;60044;6/2021;12/2025;27338,34;Emitida;FORTE;True;interrompida_por_2026NE0000006
128075;25020;25/2014;01/2021;26634,0;Emitida;COMPLETA;False;ne_anterior_ao_venc
128138;25034;25/2014;02/2021;26634,0;Emitida;COMPLETA;False;ne_anterior_ao_venc
128160;25041;25/2014;03/2021;26634,0;Emitida;FORTE;False;ne_anterior_ao_venc
128770;25586;6/2021;11/2021;26634,0;Emitida;FORTE;True;interrompida_por_2026NE0000006
129613;26401;6/2021;12/2021;26634,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
134418;31029;6/2021;07/2022;26634,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
135064;31679;6/2021;08/2022;26634,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
135860;32443;6/2021;09/2022;26634,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
136421;33077;6/2021;10/2022;26634,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
137097;33735;6/2021;11/2022;26634,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
137570;34125;6/2021;12/2022;26634,0;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
134804;31370;6/2021;08/2022;26439,63;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
135490;31971;6/2021;09/2022;26439,63;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
136195;32772;6/2021;10/2022;26439,63;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
136866;33435;6/2021;11/2022;26439,63;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
137477;34041;6/2021;12/2022;26439,63;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
135857;32450;12/2021;09/2022;26272,04;Emitida;COMPLETA;True;interrompida_por_2026NE0000008
165493;60300;12/2021;12/2025;23673,28;Emitida;COMPLETA;True;interrompida_por_2026NE0000008
155538;50727;12/2021;12/2024;22154,78;Emitida;COMPLETA;True;interrompida_por_2026NE0000008
128135;25037;22/2014;02/2021;22119,75;Emitida;FORTE;False;ne_anterior_ao_venc
128079;25021;22/2014;01/2021;21947,41;Emitida;COMPLETA;False;ne_anterior_ao_venc
128142;25030;27/2014;02/2021;19372,79;Emitida;COMPLETA;False;ne_anterior_ao_venc
128156;25051;27/2014;03/2021;19372,79;Emitida;COMPLETA;False;ne_anterior_ao_venc
128167;25057;22/2014;03/2021;18801,33;Emitida;COMPLETA;False;ne_anterior_ao_venc
165067;60042;6/2021;12/2025;16933,66;Emitida;COMPLETA;True;interrompida_por_2026NE0000006
135858;32449;12/2021;09/2022;16469,04;Emitida;COMPLETA;True;interrompida_por_2026NE0000008
127483;25023;27/2014;01/2021;15808,0;Emitida;COMPLETA;False;ne_anterior_ao_venc
127484;25033;27/2014;02/2021;15808,0;Emitida;COMPLETA;False;ne_anterior_ao_venc
127485;25058;27/2014;03/2021;15808,0;Emitida;COMPLETA;False;ne_anterior_ao_venc
134802;31372;6/2021;08/2022;15808,0;Emitida;FORTE;True;interrompida_por_2026NE0000006
