campo;valor
nome_completo;Fundação de Amparo à Pesquisa do Amazonas / Secretaria de Desenvolvimento Econômico
categoria;GOV_INDIRETA
cnpj;35.933.557/0001-60
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;734498.9430028957
val_atualizado;1472879.245464368
faturas_exigiveis;113
faturas_prescritas;108
faturas_total;221
p_recuperacao;0.3
indice_correcao;SELIC
