nome_original;nome_novo;tipo;numero;orgao;cnpj;data;valor_principal;procedencia;estagio;score;confianca;caminho_original;caminho_novo;erro
01.01.028101.0387672024-20-OK.pdf;TA_202022_SEDUC_2024-10-31_89553b.pdf;TA;20/2022;SEDUC;04407920000180;2024-10-31;19963695.60;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0387672024-20-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_202022_SEDUC_2024-10-31_89553b.pdf;
01.01.028101.0409782024-23-OK.pdf;TA_22021_SEDUC_2024-01-02_286c51.pdf;TA;2/2021;SEDUC;04407920000180;2024-01-02;3552246.72;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0409782024-23-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_22021_SEDUC_2024-01-02_286c51.pdf;
01.01.028101.0410232023-02-OK.pdf;TA_232021_SEDUC_2023-11-30_751269.pdf;TA;23/2021;SEDUC;04407920000180;2023-11-30;4376342.66;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0410232023-02-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_232021_SEDUC_2023-11-30_751269.pdf;
01.01.028101.0412212024-57-OK.pdf;TA_232021_SEDUC_2025-09-12_c033d7.pdf;TA;23/2021;SEDUC;04407920000180;2025-09-12;13129027.99;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412212024-57-OK.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_232021_SEDUC_2025-09-12_c033d7.pdf;
01.01.028101.0412212024-57-OK_parte001_pgs1-20.pdf;TA_232021_SEDUC_2024-09-24_c45290.pdf;TA;23/2021;SEDUC;04407920000180;2024-09-24;13129027.99;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412212024-57-OK_parte001_pgs1-20.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_232021_SEDUC_2024-09-24_c45290.pdf;
01.01.028101.0412212024-57-OK_parte002_pgs21-40.pdf;01.01.028101.0412212024-57-OK__revisar_dc3e7b.pdf;OUTRO;;;;;;P1-DOC;nativo;1.0;0.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412212024-57-OK_parte002_pgs21-40.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0412212024-57-OK__revisar_dc3e7b.pdf;
01.01.028101.0412212024-57-OK_parte003_pgs41-60.pdf;01.01.028101.0412212024-57-OK__revisar_3fffe6.pdf;OUTRO;;;;;;P1-DOC;nativo;1.0;0.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412212024-57-OK_parte003_pgs41-60.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\01.01.028101.0412212024-57-OK__revisar_3fffe6.pdf;
01.01.028101.0412212024-57-OK_parte004_pgs61-80.pdf;CONTRATO_0232021_SEDUC_2024-11-13_48e9d1.pdf;CONTRATO;023/2021;SEDUC;04407920000180;2024-11-13;;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412212024-57-OK_parte004_pgs61-80.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\CONTRATO_0232021_SEDUC_2024-11-13_48e9d1.pdf;
01.01.028101.0412212024-57-OK_parte005_pgs81-100.pdf;TA_122024_SEDUC_2024-12-26_2661e9.pdf;TA;12/2024;SEDUC;04407920000180;2024-12-26;1390799.16;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412212024-57-OK_parte005_pgs81-100.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_122024_SEDUC_2024-12-26_2661e9.pdf;
01.01.028101.0412212024-57-OK_parte006_pgs101-113.pdf;TA_092025_SEDUC_2025-09-12_f6c55b.pdf;TA;09/2025;SEDUC;04407920000180;2025-09-12;1463999.12;P1-DOC;nativo;1.0;1.0;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\SEDUC_CONSOLIDADO\06_COBRANCAS\01.01.028101.0412212024-57-OK_parte006_pgs101-113.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_OrgaosM_Z\TA_092025_SEDUC_2025-09-12_f6c55b.pdf;
