campo;valor
nome_completo;CPA
categoria;EMPRESA_PRIVADA
cnpj;18.206.900/0001-55
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;165830.96
val_atualizado;165830.96
faturas_exigiveis;0
faturas_prescritas;0
faturas_total;0
p_recuperacao;0.15
indice_correcao;SELIC
