campo;valor
nome_completo;Secretaria de Saúde do Amazonas / Fundação de Medicina Tropical
categoria;GOV_DIRETA
cnpj;00.697.295/0001-05
forca_probatoria;FORTE
proximo_passo;ENVIAR_TRD
val_exig;14748048.9572181
val_atualizado;43921619.17034938
faturas_exigiveis;144
faturas_prescritas;180
faturas_total;324
p_recuperacao;0.75
indice_correcao;SELIC
