campo;valor
nome_completo;
categoria;EMPRESA_PRIVADA
cnpj;62.232.889/0001-90
forca_probatoria;FRACA
proximo_passo;CLASSIFICAR
val_exig;99481.64
val_atualizado;
faturas_exigiveis;4
faturas_prescritas;0
faturas_total;4
p_recuperacao;
indice_correcao;
