sigla,categoria,forca,val_exig,val_atualizado,proximo_passo,fat_exig,fat_presc,urg_presc,d_plus,p_rec
CPA,EMPRESA_PRIVADA,FRACA,165830.96,165830.96,ANALISAR_DOCUMENTACAO,6,0,NORMAL,1271,0.15
BANCO SAFRA,EMPRESA_PRIVADA,FRACA,9310.00,9310.00,ANALISAR_DOCUMENTACAO,6,0,NORMAL,1271,0.15
B23 TECNOLOGIA,EMPRESA_PRIVADA,FRACA,11892.24,11892.24,ANALISAR_DOCUMENTACAO,3,0,NORMAL,1271,0.15
PSA TECHNOLOGY,EMPRESA_PRIVADA,FRACA,21007.21,21007.21,ANALISAR_DOCUMENTACAO,0,0,NORMAL,1271,0.15
_metadata,,,0.00,0.00,,0,0,,,
CETAM,GOV_INDIRETA,FRACA,1256564.28,1256564.28,CLASSIFICAR,16,0,,,
UGPI,GOV_DIRETA,FRACA,353473.42,353473.42,CLASSIFICAR,18,0,,,
ADAF,GOV_INDIRETA,FRACA,149600.91,149600.91,CLASSIFICAR,44,0,,,
CGE,GOV_DIRETA,FRACA,25693.37,25693.37,CLASSIFICAR,9,0,,,
FMPES,GOV_INDIRETA,FRACA,27264.57,27264.57,CLASSIFICAR,3,0,,,
DPE,GOV_DIRETA,FRACA,28060.05,28060.05,CLASSIFICAR,7,0,,,
SEJEL,GOV_DIRETA,FRACA,280242.25,280242.25,CLASSIFICAR,96,0,,,
ADS,GOV_INDIRETA,FRACA,211657.47,211657.47,CLASSIFICAR,119,0,CRITICA_IMINENTE,3,
SETRAB,GOV_DIRETA,FRACA,505961.79,505961.79,AVALIAR_SUCESSAO,81,0,,,
AADESAM,GOV_INDIRETA,FRACA,125682.90,125682.90,CLASSIFICAR,34,0,,,
FJJA,GOV_INDIRETA,FRACA,20596.36,20596.36,CLASSIFICAR,5,0,,,
CASA CIVIL,GOV_DIRETA,FRACA,20927.09,0.00,CLASSIFICAR,4,0,,,
COSAMA,GOV_INDIRETA,FRACA,0.00,0.00,CLASSIFICAR,0,0,,,
CASA MILITAR,GOV_DIRETA,FRACA,0.00,0.00,CLASSIFICAR,0,0,,,
BANCO DAYCOVAL,EMPRESA_PRIVADA,FRACA,99481.64,0.00,CLASSIFICAR,4,0,,,
BRADESCO,EMPRESA_PRIVADA,FRACA,2226517.80,2226517.80,CLASSIFICAR,115,0,,,
SALUX,EMPRESA_PRIVADA,FRACA,1027949.15,1027949.15,CLASSIFICAR,16,0,,,
BRADESCO FINANCIAMENTO,EMPRESA_PRIVADA,FRACA,194783.80,194783.80,CLASSIFICAR,72,0,,,
