campo;valor
nome_completo;Banco Safra
categoria;EMPRESA_PRIVADA
cnpj;58.160.789/0001-28
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;9310.0
val_atualizado;9310.0
faturas_exigiveis;0
faturas_prescritas;0
faturas_total;0
p_recuperacao;0.15
indice_correcao;SELIC
