Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
FUNTEA;Acesso Gerenciado à Rede Mundial;006/2022;146178;12/2023;3.921,89;818 dias;0,00;Suspenso;TramitarReverter Status
FUNTEA;Execução de sistemas;001/2022;146385;12/2023;2.236,92;815 dias;0,00;Suspenso;TramitarReverter Status
FUNTEA;Licença de uso de VPN;001/2023;166129;01/2026;187,84;42 dias;0,00;Suspenso;TramitarReverter Status
