campo;valor
nome_completo;Fundação Universidade Aberta do Amazonas / Fundação Hospitalar de Hematologia e Hemoterapia do Amazonas
categoria;GOV_INDIRETA
cnpj;02.006.782/0001-00
forca_probatoria;FORTE
proximo_passo;PROTOCOLAR_PETICAO
val_exig;44020.01
val_atualizado;356355.07
faturas_exigiveis;22
faturas_prescritas;53
faturas_total;75
p_recuperacao;0.78
indice_correcao;IGPM
