caminho_original;nome_original;nome_proposto;raiz;tipo_reclass;tipo_original;mudou_tipo;numero;orgao;data
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\4º TA CT 022.14 - Prazo.ocr.pdf;4º TA CT 022.14 - Prazo.ocr.pdf;TA_022-2014_2017-11-26_5bc37f.pdf;DETRAN_CONSOLIDADO;TA;TA;0;022/2014;DETRAN;2017-11-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\4º TA Contrato 27.2014.ocr.pdf;4º TA Contrato 27.2014.ocr.pdf;TA_027-2014_2422bd.pdf;DETRAN_CONSOLIDADO;TA;TA;0;027/2014;DETRAN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\5º TA Contrato 27.2014 - prazo e realinhamenro.ocr.pdf;5º TA Contrato 27.2014 - prazo e realinhamenro.ocr.pdf;TA_027-2014_2018-11-28_218861.pdf;DETRAN_CONSOLIDADO;TA;TA;0;027/2014;DETRAN;2018-11-28
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\4º TA do Contrato 012.2021 - Prazo.pdf;4º TA do Contrato 012.2021 - Prazo.pdf;TA_012-2021_2024-04-19_d42cb1.pdf;DETRAN_CONSOLIDADO;TA;TA;0;012/2021;DETRAN;2024-04-19
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\5º TA do Contrato 012.2021 - Prazo e reajuste 5,06% IPCA.ocr.pdf;5º TA do Contrato 012.2021 - Prazo e reajuste 5,06% IPCA.ocr.pdf;TA_012-2021_1970-07-10_354dad.pdf;DETRAN_CONSOLIDADO;TA;TA;0;012/2021;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\5º TA CT 022.14 - Prazo.ocr.pdf;5º TA CT 022.14 - Prazo.ocr.pdf;TA_022-2014_2018-11-26_e72038.pdf;DETRAN_CONSOLIDADO;TA;TA;0;022/2014;DETRAN;2018-11-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\6º TA Contrato 004.2016.ocr.pdf;6º TA Contrato 004.2016.ocr.pdf;TA_004-2016_2018-06-07_1774a0.pdf;DETRAN_CONSOLIDADO;TA;TA;0;004/2016;DETRAN;2018-06-07
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\6º TA ao Contrato 25.2014 - Prazo 6 meses Of. 4965.19 .ocr.pdf;6º TA ao Contrato 25.2014 - Prazo 6 meses Of. 4965.19 .ocr.pdf;TA_025-2014_2018-06-07_99e9d1.pdf;DETRAN_CONSOLIDADO;TA;TA;0;025/2014;DETRAN;2018-06-07
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\6º TA Contrato 27.2014 - prazo 6 meses Of. 4965.19.ocr.pdf;6º TA Contrato 27.2014 - prazo 6 meses Of. 4965.19.ocr.pdf;TA_027-2014_2019-11-27_ed729c.pdf;DETRAN_CONSOLIDADO;TA;TA;0;027/2014;DETRAN;2019-11-27
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\6º TA Contrato 017.2015 - Prazo.ocr.pdf;6º TA Contrato 017.2015 - Prazo.ocr.pdf;TA_017-2015_2018-06-07_be8898.pdf;DETRAN_CONSOLIDADO;TA;TA;0;017/2015;DETRAN;2018-06-07
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\6º TA CT 022.2014 - Prazo 6 meses Of. 4965.19.ocr.pdf;6º TA CT 022.2014 - Prazo 6 meses Of. 4965.19.ocr.pdf;TA_022-2014_2018-06-07_67d1ab.pdf;DETRAN_CONSOLIDADO;TA;TA;0;022/2014;DETRAN;2018-06-07
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\7º TA ao Contrato 25.2014 - Prazo 6 meses.ocr.pdf;7º TA ao Contrato 25.2014 - Prazo 6 meses.ocr.pdf;TA_025-2014_2020-05-27_09800d.pdf;DETRAN_CONSOLIDADO;TA;TA;0;025/2014;DETRAN;2020-05-27
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\7º TA Contrato 2762014 - Prazo 6 meses.ocr.pdf;7º TA Contrato 2762014 - Prazo 6 meses.ocr.pdf;TA_027-2014_2020-05-27_9685d3.pdf;DETRAN_CONSOLIDADO;TA;TA;0;027/2014;DETRAN;2020-05-27
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\7º TA CONTRATO 22.2014 - Prazo 6 meses.ocr.pdf;7º TA CONTRATO 22.2014 - Prazo 6 meses.ocr.pdf;TA_022-2014_2019-05-25_39be1d.pdf;DETRAN_CONSOLIDADO;TA;TA;0;022/2014;DETRAN;2019-05-25
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\7º TERMO ADITIVO CT 022.2014  para assinatura.pdf;7º TERMO ADITIVO CT 022.2014  para assinatura.pdf;TA_222-2014_2019-05-25_e4b355.pdf;DETRAN_CONSOLIDADO;TA;TA;0;222/2014;DETRAN;2019-05-25
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Comprimido Contrato 83.22.ocr.pdf;Comprimido Contrato 83.22.ocr.pdf;CONTRATO_1970-07-10_e0a60b.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 004.2016 Biometria.ocr.pdf;Contrato 004.2016 Biometria.ocr.pdf;CONTRATO_1970-07-10_1bff42.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 012.2021 - Desenvolvimento de Sistemas.ocr.pdf;Contrato 012.2021 - Desenvolvimento de Sistemas.ocr.pdf;CONTRATO_1970-07-10_5e1512.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 027.2014 - Serviço Rede.ocr.pdf;Contrato 027.2014 - Serviço Rede.ocr.pdf;CT-ID027/2014_DETRAN_313889.pdf;DETRAN_CONSOLIDADO;CONTRATO;TA;1;027/2014;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 025.2014 - Manutenção de Sistema.ocr.pdf;Contrato 025.2014 - Manutenção de Sistema.ocr.pdf;CT-ID025/2014_DETRAN_84f601.pdf;DETRAN_CONSOLIDADO;CONTRATO;TA;1;025/2014;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\NE 471 Cobertura Financeira 1º TA.ocr.pdf;NE 471 Cobertura Financeira 1º TA.ocr.pdf;TA_471_2017-07-01_51d702.pdf;DETRAN_CONSOLIDADO;TA;NE;1;471;DETRAN;2017-07-01
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\CONTRATO 17.2015-DATA CENTER.ocr.pdf;CONTRATO 17.2015-DATA CENTER.ocr.pdf;CONTRATO_2015-07-07_01080c.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;2015-07-07
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 010.2021 - Softare como Sistema Gestão de Trânsito.ocr.pdf;Contrato 010.2021 - Softare como Sistema Gestão de Trânsito.ocr.pdf;CONTRATO_1970-07-10_dd45d4.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 022.2014 - Execução de Sistema SCIT.ocr.pdf;Contrato 022.2014 - Execução de Sistema SCIT.ocr.pdf;CT-ID022/2014_DETRAN_c327f3.pdf;DETRAN_CONSOLIDADO;CONTRATO;TA;1;022/2014;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 083.2022 - Licença Uso solução Talão Eletrônico.ocr.pdf;Contrato 083.2022 - Licença Uso solução Talão Eletrônico.ocr.pdf;CONTRATO_1970-07-10_8de658.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\2020NE00510.ocr.pdf;2020NE00510.ocr.pdf;NE_bee735.pdf;DETRAN_CONSOLIDADO;NE;OUTRO;1;;;
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 075.2022 - Sistema SIGMO.ocr.pdf;Contrato 075.2022 - Sistema SIGMO.ocr.pdf;CONTRATO_1970-07-10_c800c4.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\PROPOSTA 60.2022.PDF;PROPOSTA 60.2022.PDF;CONTRATO_3d322d.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\Contrato 006.2021 - Rede, VPN, Circuito, Firewall, Rack, Suporte, Serv., MetroMao, Assessoria.ocr.pdf;Contrato 006.2021 - Rede, VPN, Circuito, Firewall, Rack, Suporte, Serv., MetroMao, Assessoria.ocr.pdf;CONTRATO_1970-07-10_68c349.pdf;DETRAN_CONSOLIDADO;CONTRATO;CONTRATO;0;;DETRAN;1970-07-10
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 005 Cobertura Financeira.pdf;NE 005 Cobertura Financeira.pdf;NE-2025-ID005_DETRAN_2025-01-21_878fbf.pdf;DETRAN_CONSOLIDADO;NE;NE;0;005;DETRAN;2025-01-21
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 002 Cobertura Financeira.pdf;NE 002 Cobertura Financeira.pdf;NE-2025-ID002_DETRAN_2025-01-02_6cab2e.pdf;DETRAN_CONSOLIDADO;NE;NE;0;002;DETRAN;2025-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\01_CONTRATOS\NE 595 Cobertura Financeira 2º TA.ocr.pdf;NE 595 Cobertura Financeira 2º TA.ocr.pdf;TA_595_2017-08-11_9ccd4d.pdf;DETRAN_CONSOLIDADO;TA;NE;1;595;DETRAN;2017-08-11
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 004 Cobertura Financeira.pdf;NE 004 Cobertura Financeira.pdf;NE-2025-ID004_DETRAN_2025-01-02_a158d5.pdf;DETRAN_CONSOLIDADO;NE;NE;0;004;DETRAN;2025-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\DETRAN_CONSOLIDADO\02_EMPENHOS\NE 009.ocr.pdf;NE 009.ocr.pdf;NE-2020-ID009_DETRAN_2020-01-02_38d657.pdf;DETRAN_CONSOLIDADO;NE;NE;0;009;DETRAN;2020-01-02
