campo;valor
nome_completo;Fundação de Medicina Tropical do Amazonas
categoria;GOV_INDIRETA
cnpj;04.534.053/0001-43
forca_probatoria;MÉDIA
proximo_passo;ENVIAR_TRD
val_exig;272130.6793465254
val_atualizado;693107.3755040537
faturas_exigiveis;41
faturas_prescritas;42
faturas_total;83
p_recuperacao;0.55
indice_correcao;SELIC
