campo;valor
nome_completo;Procuradoria-Geral do Estado
categoria;GOV_DIRETA
cnpj;19.477.848/0001-34
forca_probatoria;MÉDIA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;680239.7715611592
val_atualizado;1603066.411500305
faturas_exigiveis;41
faturas_prescritas;6
faturas_total;47
p_recuperacao;0.37
indice_correcao;SELIC
