id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
142153;142153;8/2022;06/2023;9256,1;Parcialmente Paga;COMPLETA;160
167379;167379;8/2022;04/2026;9256,0;Emitida;FORTE;160
167380;167380;4/2024;04/2026;2717,66;Emitida;FORTE;81
166278;547;4/2024;01/2026;2717,66;Emitida;FORTE;81
145183;41142;1/2018;10/2023;2297,09;Emitida;COMPLETA;376
146738;42550;1/2018;12/2023;2297,09;Emitida;FORTE;376
