Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
FHAJ;Acesso Gerenciado à Rede Mundial;008/2022;142153;06/2023;835,90;990 dias;0,00;Suspenso;TramitarReverter Status
FHAJ;Licença de uso de sistemas de informação;001/2018;145183;10/2023;2.297,09;869 dias;0,00;Suspenso;TramitarReverter Status
FHAJ;Licença de uso de sistemas de informação;001/2018;146738;12/2023;2.297,09;805 dias;0,00;Suspenso;TramitarReverter Status
FHAJ;Licença de uso de sistemas de informação;004/2024;166278;01/2026;2.717,66;42 dias;0,00;Suspenso;TramitarReverter Status
