campo;valor
nome_completo;Sul América Seguros
categoria;EMPRESA_PRIVADA
cnpj;01.685.053/0001-56
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;18196.0
val_atualizado;18196.0
faturas_exigiveis;20
faturas_prescritas;0
faturas_total;20
p_recuperacao;0.15
indice_correcao;SELIC
