campo;valor
nome_completo;Easytech
categoria;EMPRESA_PRIVADA
cnpj;14.379.210/0001-47
forca_probatoria;FRACA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;6927.16
val_atualizado;6927.16
faturas_exigiveis;0
faturas_prescritas;0
faturas_total;0
p_recuperacao;0.15
indice_correcao;SELIC
