campo;valor
nome_completo;Instituto de Proteção Ambiental do Amazonas
categoria;GOV_INDIRETA
cnpj;04.624.888/0001-94
forca_probatoria;MÉDIA
proximo_passo;ENVIAR_TRD
val_exig;652339.8873389428
val_atualizado;652339.8873389428
faturas_exigiveis;58
faturas_prescritas;0
faturas_total;58
p_recuperacao;0.52
indice_correcao;SELIC
