caminho_original;nome_original;nome_novo;caminho_novo;sha256_antes;sha256_depois;tipo_final;status;erro
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_644.pdf;empenho_DETRAN_view_644.pdf;INDEFINIDO_empenho_DETRAN_view_644.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_644.pdf;ba846a37c91b316d53ec8013cf7dae3ef49cd7dd715200ee79703afd3c5cb990;ba846a37c91b316d53ec8013cf7dae3ef49cd7dd715200ee79703afd3c5cb990;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8362.pdf;empenho_DETRAN_view_8362.pdf;INDEFINIDO_empenho_DETRAN_view_8362.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8362.pdf;94391ac216543a6ba85d8cc593b3c3975bb327898cd8b4a8db44b5403d987211;94391ac216543a6ba85d8cc593b3c3975bb327898cd8b4a8db44b5403d987211;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8774.pdf;empenho_DETRAN_view_8774.pdf;INDEFINIDO_empenho_DETRAN_view_8774.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8774.pdf;4fb38ab46662fb110d4e03daa1fc23af577aa0906c210edb8ec465c41038dadd;4fb38ab46662fb110d4e03daa1fc23af577aa0906c210edb8ec465c41038dadd;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8772.pdf;empenho_DETRAN_view_8772.pdf;INDEFINIDO_empenho_DETRAN_view_8772.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8772.pdf;1446a727307f488cad931e066ceac9ba2658a85bb609291c38f42e91f29fbd56;1446a727307f488cad931e066ceac9ba2658a85bb609291c38f42e91f29fbd56;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8857.pdf;empenho_DETRAN_view_8857.pdf;INDEFINIDO_empenho_DETRAN_view_8857.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8857.pdf;118c44ceface8fab0911da3494fb8fa277704aaf0ab42b98480bb83e48d9a4ba;118c44ceface8fab0911da3494fb8fa277704aaf0ab42b98480bb83e48d9a4ba;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8901.pdf;empenho_DETRAN_view_8901.pdf;INDEFINIDO_empenho_DETRAN_view_8901.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8901.pdf;761e602ebfaf8ebf4b363e24caf86f15b93cdab801b3e0c422060a64ed0b1a13;761e602ebfaf8ebf4b363e24caf86f15b93cdab801b3e0c422060a64ed0b1a13;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8642.pdf;empenho_DETRAN_view_8642.pdf;INDEFINIDO_empenho_DETRAN_view_8642.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8642.pdf;66da8dd3282a54e9c9115dba75c6dcddee0ebb885a225b5c5f62e425b722a484;66da8dd3282a54e9c9115dba75c6dcddee0ebb885a225b5c5f62e425b722a484;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8904.pdf;empenho_DETRAN_view_8904.pdf;INDEFINIDO_empenho_DETRAN_view_8904.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8904.pdf;ed83cf77282a98e18e7636057ec55bc6cf6b05266279813216d99fc270baf748;ed83cf77282a98e18e7636057ec55bc6cf6b05266279813216d99fc270baf748;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8887.pdf;empenho_DETRAN_view_8887.pdf;INDEFINIDO_empenho_DETRAN_view_8887.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8887.pdf;72e4efe4c7887c6cb74ea9b4642f7cafa2922ad8815e6fdf3e4d296f88a8712d;72e4efe4c7887c6cb74ea9b4642f7cafa2922ad8815e6fdf3e4d296f88a8712d;Indefinido;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_8903.pdf;empenho_DETRAN_view_8903.pdf;INDEFINIDO_empenho_DETRAN_view_8903.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\INDEFINIDO_empenho_DETRAN_view_8903.pdf;3ad9a3a228bcebff1c3284e2ba7185639720f48727691edf41ed48888048bde2;3ad9a3a228bcebff1c3284e2ba7185639720f48727691edf41ed48888048bde2;Indefinido;OK;
