caminho;caminho_rel;raiz;nome;size_bytes;paginas;tem_texto;chars_p1;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11015_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11015_DETRAN.pdf;SPCF_EXTRACAO;empenho_11015_DETRAN.pdf;71349;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11074_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11074_DETRAN.pdf;SPCF_EXTRACAO;empenho_11074_DETRAN.pdf;70380;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11323_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11323_DETRAN.pdf;SPCF_EXTRACAO;empenho_11323_DETRAN.pdf;70633;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11265_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11265_DETRAN.pdf;SPCF_EXTRACAO;empenho_11265_DETRAN.pdf;70671;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11327_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11327_DETRAN.pdf;SPCF_EXTRACAO;empenho_11327_DETRAN.pdf;70199;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11231_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11231_DETRAN.pdf;SPCF_EXTRACAO;empenho_11231_DETRAN.pdf;70674;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11251_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11251_DETRAN.pdf;SPCF_EXTRACAO;empenho_11251_DETRAN.pdf;70660;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11325_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11325_DETRAN.pdf;SPCF_EXTRACAO;empenho_11325_DETRAN.pdf;70629;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11544_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11544_DETRAN.pdf;SPCF_EXTRACAO;empenho_11544_DETRAN.pdf;72050;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11076_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_11076_DETRAN.pdf;SPCF_EXTRACAO;empenho_11076_DETRAN.pdf;70658;2;1;1263;0
