caminho;nome;raiz;tipo;numero;orgao;cnpj;data;valor;confianca
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11265_DETRAN.pdf;empenho_11265_DETRAN.pdf;SPCF_EXTRACAO;TA;12/2018;DETRAN;;2018-12-28;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11544_DETRAN.pdf;empenho_11544_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;022/2014;DETRAN;;2019-04-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11231_DETRAN.pdf;empenho_11231_DETRAN.pdf;SPCF_EXTRACAO;TA;12/2018;DETRAN;;2018-12-28;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11251_DETRAN.pdf;empenho_11251_DETRAN.pdf;SPCF_EXTRACAO;TA;12/2018;DETRAN;;2018-12-28;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11325_DETRAN.pdf;empenho_11325_DETRAN.pdf;SPCF_EXTRACAO;TA;02/2019;DETRAN;;2019-02-25;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11076_DETRAN.pdf;empenho_11076_DETRAN.pdf;SPCF_EXTRACAO;TA;12/2018;DETRAN;;2018-12-28;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11508_DETRAN.pdf;empenho_11508_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;005/2016;DETRAN;;2019-04-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11324_DETRAN.pdf;empenho_11324_DETRAN.pdf;SPCF_EXTRACAO;TA;02/2019;DETRAN;;2019-02-25;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11554_DETRAN.pdf;empenho_11554_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;025/2014;DETRAN;;2019-04-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11781_DETRAN.pdf;empenho_11781_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;022/2014;DETRAN;;2019-07-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11514_DETRAN.pdf;empenho_11514_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2019-04-01;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11547_DETRAN.pdf;empenho_11547_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2019-04-01;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11783_DETRAN.pdf;empenho_11783_DETRAN.pdf;SPCF_EXTRACAO;TA;07/2019;DETRAN;;2019-07-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11564_DETRAN.pdf;empenho_11564_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2019-04-01;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11774_DETRAN.pdf;empenho_11774_DETRAN.pdf;SPCF_EXTRACAO;TA;07/2019;DETRAN;;2019-07-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11769_DETRAN.pdf;empenho_11769_DETRAN.pdf;SPCF_EXTRACAO;TA;07/2019;DETRAN;;2019-07-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11841_DETRAN.pdf;empenho_11841_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2019-07-05;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12293_DETRAN.pdf;empenho_12293_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2019-11-22;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11549_DETRAN.pdf;empenho_11549_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;011/2016;DETRAN;;2019-04-01;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_12294_DETRAN.pdf;empenho_12294_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2019-11-22;;0.65
