caminho;nome;estagio;score;paginas;procedencia;pdf_pesquisavel;segundos;status
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12011.pdf;empenho_DETRAN_12011.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12011.ocr.pdf;24.9;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12297.pdf;empenho_DETRAN_12297.pdf;ocrmypdf;0.92;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12297.ocr.pdf;24.6;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_1244.pdf;empenho_DETRAN_1244.pdf;ocrmypdf;0.81;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_1244.ocr.pdf;18.1;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12298.pdf;empenho_DETRAN_12298.pdf;ocrmypdf;0.96;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12298.ocr.pdf;22.5;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12303.pdf;empenho_DETRAN_12303.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12303.ocr.pdf;31.9;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12299.pdf;empenho_DETRAN_12299.pdf;ocrmypdf;0.96;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12299.ocr.pdf;34.7;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12345.pdf;empenho_DETRAN_12345.pdf;ocrmypdf;0.96;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12345.ocr.pdf;29.0;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12983.pdf;empenho_DETRAN_12983.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12983.ocr.pdf;35.5;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_13098.pdf;empenho_DETRAN_13098.pdf;ERRO;0.0;0;;;11.8;"ERRO: Unable to get page count.
Syntax Error: Couldn't find trailer dictionary
Syntax Error: Couldn't find trailer dictionary
Syntax Error: Couldn't read xref table
"
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_13270.pdf;empenho_DETRAN_13270.pdf;ocrmypdf;0.88;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_13270.ocr.pdf;25.4;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12872.pdf;empenho_DETRAN_12872.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_12872.ocr.pdf;40.2;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_13100.pdf;empenho_DETRAN_13100.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_13100.ocr.pdf;21.0;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_13427.pdf;empenho_DETRAN_13427.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_13427.ocr.pdf;33.3;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_17409.pdf;empenho_DETRAN_17409.pdf;ocrmypdf;0.89;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_17409.ocr.pdf;27.2;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_18013.pdf;empenho_DETRAN_18013.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_18013.ocr.pdf;29.1;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_17131.pdf;empenho_DETRAN_17131.pdf;ocrmypdf;0.61;3;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_17131.ocr.pdf;90.2;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_18695.pdf;empenho_DETRAN_18695.pdf;ocrmypdf;0.91;3;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_18695.ocr.pdf;64.2;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2189.pdf;empenho_DETRAN_2189.pdf;ocrmypdf;0.96;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2189.ocr.pdf;22.2;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2188.pdf;empenho_DETRAN_2188.pdf;ocrmypdf;0.96;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2188.ocr.pdf;22.3;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2195.pdf;empenho_DETRAN_2195.pdf;ocrmypdf;0.96;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2195.ocr.pdf;15.5;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2213.pdf;empenho_DETRAN_2213.pdf;ocrmypdf;0.97;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2213.ocr.pdf;17.6;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23236.pdf;empenho_DETRAN_23236.pdf;ocrmypdf;0.89;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23236.ocr.pdf;34.5;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23237.pdf;empenho_DETRAN_23237.pdf;ocrmypdf;0.9;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23237.ocr.pdf;31.7;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23238.pdf;empenho_DETRAN_23238.pdf;ocrmypdf;0.91;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23238.ocr.pdf;40.0;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23239.pdf;empenho_DETRAN_23239.pdf;ocrmypdf;0.91;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23239.ocr.pdf;38.3;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2408.pdf;empenho_DETRAN_2408.pdf;ocrmypdf;0.88;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2408.ocr.pdf;23.0;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2443.pdf;empenho_DETRAN_2443.pdf;ocrmypdf;0.93;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2443.ocr.pdf;22.6;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23240.pdf;empenho_DETRAN_23240.pdf;ocrmypdf;0.91;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_23240.ocr.pdf;47.2;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2411.pdf;empenho_DETRAN_2411.pdf;ocrmypdf;0.93;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2411.ocr.pdf;45.7;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2416.pdf;empenho_DETRAN_2416.pdf;ocrmypdf;0.88;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2416.ocr.pdf;40.7;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2457.pdf;empenho_DETRAN_2457.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2457.ocr.pdf;42.3;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2515.pdf;empenho_DETRAN_2515.pdf;ocrmypdf;0.87;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2515.ocr.pdf;15.5;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2505.pdf;empenho_DETRAN_2505.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2505.ocr.pdf;15.4;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2808.pdf;empenho_DETRAN_2808.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_2808.ocr.pdf;14.6;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_3070.pdf;empenho_DETRAN_3070.pdf;ocrmypdf;0.91;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_3070.ocr.pdf;14.8;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_3193.pdf;empenho_DETRAN_3193.pdf;ocrmypdf;0.96;1;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_3193.ocr.pdf;16.6;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_3071.pdf;empenho_DETRAN_3071.pdf;ocrmypdf;0.93;2;P2-PARCIAL;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\AUDITORIA_DETRAN_COMPLETA\pdfs_spcf_reais\empenhos\empenho_DETRAN_3071.ocr.pdf;31.7;OK
