campo;valor
nome_completo;Secretaria de Ciência e Tecnologia
categoria;GOV_DIRETA
cnpj;05.558.639/0001-00
forca_probatoria;MÉDIA
proximo_passo;ANALISAR_DOCUMENTACAO
val_exig;258328.5777689927
val_atualizado;296246.9739695273
faturas_exigiveis;35
faturas_prescritas;9
faturas_total;44
p_recuperacao;0.37
indice_correcao;SELIC
