campo;valor
nome_completo;Secretaria de Administração
categoria;GOV_DIRETA
cnpj;02.287.757/0001-33
forca_probatoria;FORTE
proximo_passo;ENVIAR_TRD
val_exig;2339702.19897373
val_atualizado;4296278.763058392
faturas_exigiveis;25
faturas_prescritas;44
faturas_total;69
p_recuperacao;0.7
indice_correcao;SELIC
